datetime,week_start,station,time_slot,PM2.5,PM10,NO2,O3,TEMP,WSPM,source_rows,source_index
2013-02-26,2013-02-26,Aotizhongxin,afternoon,22.5,31.5,18.0,74.0,9.45,2.6,24,0
2013-02-26,2013-02-26,Aotizhongxin,evening,43.0,84.5,82.0,31.5,3.1,1.75,24,1
2013-02-26,2013-02-26,Aotizhongxin,morning,13.0,26.5,59.0,31.5,1.7999999999999998,2.2,24,2
2013-02-26,2013-02-26,Aotizhongxin,night,13.0,24.0,43.0,44.0,-1.4,1.7,23,3
2013-02-26,2013-02-26,Changping,afternoon,21.0,37.5,18.0,83.5,9.1,2.3,24,4
2013-02-26,2013-02-26,Changping,evening,29.5,55.0,44.5,49.5,3.35,0.8,24,5
2013-02-26,2013-02-26,Changping,morning,16.0,28.5,48.5,34.0,0.95,1.5,24,6
2013-02-26,2013-02-26,Changping,night,11.5,13.5,17.5,68.0,-2.45,1.2,22,7
2013-03-05,2013-03-05,Aotizhongxin,afternoon,150.0,219.0,101.0,81.0,11.9,2.7,41,8
2013-03-05,2013-03-05,Aotizhongxin,evening,150.5,223.5,104.5,68.0,6.699999999999999,1.4,42,9
2013-03-05,2013-03-05,Aotizhongxin,morning,139.0,196.0,99.5,82.0,7.15,1.5,42,10
2013-03-05,2013-03-05,Aotizhongxin,night,103.0,147.0,93.0,82.0,1.4,0.9,41,11
2013-03-05,2013-03-05,Changping,afternoon,142.5,182.0,75.5,93.0,12.25,1.75,42,12
2013-03-05,2013-03-05,Changping,evening,156.5,185.0,95.0,81.0,6.949999999999999,1.2,42,13
2013-03-05,2013-03-05,Changping,morning,110.5,176.5,83.5,94.0,7.9,1.35,42,14
2013-03-05,2013-03-05,Changping,night,100.0,132.0,72.0,94.0,3.0,0.8,41,15
2013-03-12,2013-03-12,Aotizhongxin,afternoon,132.5,116.0,69.0,77.0,10.649999999999999,2.0,42,16
2013-03-12,2013-03-12,Aotizhongxin,evening,140.0,149.0,87.5,52.0,6.15,1.5,42,17
2013-03-12,2013-03-12,Aotizhongxin,morning,118.0,119.0,70.5,69.0,5.55,1.45,42,18
2013-03-12,2013-03-12,Aotizhongxin,night,151.0,176.5,81.0,68.5,4.75,1.3,42,19
2013-03-12,2013-03-12,Changping,afternoon,145.5,152.5,68.0,91.0,10.8,1.6,42,20
2013-03-12,2013-03-12,Changping,evening,180.0,189.0,95.0,77.0,5.85,1.1,42,21
2013-03-12,2013-03-12,Changping,morning,123.0,131.5,72.5,81.0,5.15,1.3,42,22
2013-03-12,2013-03-12,Changping,night,128.0,146.0,72.5,81.0,3.25,1.15,42,23
2013-03-19,2013-03-19,Aotizhongxin,afternoon,64.5,117.5,46.5,45.6342,8.350000000000001,2.6,42,24
2013-03-19,2013-03-19,Aotizhongxin,evening,65.0,105.5,64.0,33.0,4.65,2.2,42,25
2013-03-19,2013-03-19,Aotizhongxin,morning,51.0,66.0,65.0,17.0,3.1,1.9,39,26
2013-03-19,2013-03-19,Aotizhongxin,night,52.0,76.0,51.0,10.0,1.2,1.3,35,27
2013-03-19,2013-03-19,Changping,afternoon,67.0,88.0,40.0,64.0,7.9,2.3,41,28
2013-03-19,2013-03-19,Changping,evening,65.0,93.0,52.5,47.6691,3.4000000000000004,1.1,42,29
2013-03-19,2013-03-19,Changping,morning,48.0,60.0,51.0,35.5,2.45,1.15,42,30
2013-03-19,2013-03-19,Changping,night,41.0,63.0,35.0,38.0,0.7,1.5,41,31
2013-03-26,2013-03-26,Aotizhongxin,afternoon,90.0,124.5,50.5,64.5,11.5,2.7,42,32
2013-03-26,2013-03-26,Aotizhongxin,evening,88.0,120.5,70.0,25.5,6.949999999999999,1.75,42,33
2013-03-26,2013-03-26,Aotizhongxin,morning,100.0,151.5,71.0,3.5,6.699999999999999,1.65,42,34
2013-03-26,2013-03-26,Aotizhongxin,night,98.0,127.5,78.0,2.0,4.3,1.2,40,35
2013-03-26,2013-03-26,Changping,afternoon,55.5,117.5,40.0,71.5,11.8,2.95,42,36
2013-03-26,2013-03-26,Changping,evening,89.0,108.5,44.5,53.5,6.75,1.75,42,37
2013-03-26,2013-03-26,Changping,morning,76.0,104.0,63.0,16.5,6.1,1.6,42,38
2013-03-26,2013-03-26,Changping,night,94.5,100.0,56.0,22.5,3.75,1.1,40,39
2013-04-02,2013-04-02,Aotizhongxin,afternoon,79.5,142.0,47.5,77.0,13.5,2.8,42,40
2013-04-02,2013-04-02,Aotizhongxin,evening,40.0,89.0,64.0,58.0,8.8,2.0,41,41
2013-04-02,2013-04-02,Aotizhongxin,morning,76.0,120.0,68.0,22.0313,9.350000000000001,1.8,42,42
2013-04-02,2013-04-02,Aotizhongxin,night,46.0,86.0,68.0,26.0,6.0,1.2,42,43
2013-04-02,2013-04-02,Changping,afternoon,58.5,109.5,35.5,86.5,12.6,2.6,42,44
2013-04-02,2013-04-02,Changping,evening,58.5,106.0,42.0,72.5,8.6,1.4500000000000002,42,45
2013-04-02,2013-04-02,Changping,morning,37.0,95.0,50.0,45.0,9.0,1.5,41,46
2013-04-02,2013-04-02,Changping,night,40.0,60.0,41.0,46.5,5.75,1.2,40,47
2013-04-09,2013-04-09,Aotizhongxin,afternoon,21.5,79.0,15.0,82.5193,16.549999999999997,3.75,42,48
2013-04-09,2013-04-09,Aotizhongxin,evening,31.0,89.0,41.5,61.059,11.5,1.9,42,49
2013-04-09,2013-04-09,Aotizhongxin,morning,24.5,74.0,75.0,40.5,11.1,2.25,42,50
2013-04-09,2013-04-09,Aotizhongxin,night,32.0,97.0,78.0,17.0,6.05,1.3,42,51
2013-04-09,2013-04-09,Changping,afternoon,17.0,66.0,14.0,94.51689999999999,16.6,3.1,42,52
2013-04-09,2013-04-09,Changping,evening,24.0,55.5,28.5,85.7329,11.95,1.45,42,53
2013-04-09,2013-04-09,Changping,morning,17.5,32.5,39.0,52.5,10.55,2.3,42,54
2013-04-09,2013-04-09,Changping,night,15.0,39.5,33.0,41.705799999999996,5.55,1.2,38,55
2013-04-16,2013-04-16,Aotizhongxin,afternoon,51.5,76.0,36.0,80.5,14.850000000000001,2.55,28,56
2013-04-16,2013-04-16,Aotizhongxin,evening,57.5,113.0,59.0,50.0,11.45,2.2,34,57
2013-04-16,2013-04-16,Aotizhongxin,morning,43.0,75.5,56.0,42.5,9.850000000000001,2.8,26,58
2013-04-16,2013-04-16,Aotizhongxin,night,50.0,91.0,59.0,42.0,8.1,1.5,31,59
2013-04-16,2013-04-16,Changping,afternoon,55.0,73.5,27.5,100.44409999999999,15.350000000000001,2.7,42,60
2013-04-16,2013-04-16,Changping,evening,67.5,99.0,39.0,79.5,12.2,1.25,42,61
2013-04-16,2013-04-16,Changping,morning,62.5,91.0,42.5,45.0,10.55,2.3499999999999996,42,62
2013-04-16,2013-04-16,Changping,night,62.5,78.5,29.5,59.5,8.2,1.1,40,63
2013-04-23,2013-04-23,Aotizhongxin,afternoon,67.5,120.5,38.0,96.5,22.55,2.25,40,64
2013-04-23,2013-04-23,Aotizhongxin,evening,30.5,97.0,57.0,65.5,15.7,1.0,42,65
2013-04-23,2013-04-23,Aotizhongxin,morning,71.0,123.5,57.5,18.0,17.0,1.55,42,66
2013-04-23,2013-04-23,Aotizhongxin,night,59.5,119.0,57.5,31.5,9.899999999999999,0.8,40,67
2013-04-23,2013-04-23,Changping,afternoon,65.0,105.5,29.5,104.0,22.1,2.3,40,68
2013-04-23,2013-04-23,Changping,evening,27.0,74.5,23.0,90.0,18.450000000000003,1.8,42,69
2013-04-23,2013-04-23,Changping,morning,50.5,94.0,43.5,41.5,16.700000000000003,1.75,42,70
2013-04-23,2013-04-23,Changping,night,33.0,63.0,45.5,44.5,11.2,0.9,38,71
2013-04-30,2013-04-30,Aotizhongxin,afternoon,80.0,99.0,23.0,140.0,26.4,2.3,31,72
2013-04-30,2013-04-30,Aotizhongxin,evening,85.0,122.0,45.0,105.0,20.2,1.5,35,73
2013-04-30,2013-04-30,Aotizhongxin,morning,145.0,146.0,50.0,53.0,19.9,1.25,30,74
2013-04-30,2013-04-30,Aotizhongxin,night,84.0,110.0,50.0,50.0,14.3,1.1,33,75
2013-04-30,2013-04-30,Changping,afternoon,90.0,107.0,23.0,176.0,24.25,2.9,42,76
2013-04-30,2013-04-30,Changping,evening,90.0,118.0,38.5,128.0,20.0,1.3,42,77
2013-04-30,2013-04-30,Changping,morning,91.0,114.0,40.5,75.0,19.5,1.7,42,78
2013-04-30,2013-04-30,Changping,night,78.5,105.5,27.0,77.0,14.8,0.8500000000000001,40,79
2013-05-07,2013-05-07,Aotizhongxin,afternoon,37.0,114.0,38.5,102.0,28.25,2.2,42,80
2013-05-07,2013-05-07,Aotizhongxin,evening,67.5,121.0,67.5,87.0,20.9,1.25,42,81
2013-05-07,2013-05-07,Aotizhongxin,morning,70.0,128.0,74.0,22.0,21.5,1.4,41,82
2013-05-07,2013-05-07,Aotizhongxin,night,58.5,137.5,90.5,20.5,16.05,0.7,42,83
2013-05-07,2013-05-07,Changping,afternoon,48.0,90.5,26.0,118.0,28.25,2.4,42,84
2013-05-07,2013-05-07,Changping,evening,81.5,87.5,47.5,96.0,21.65,1.4,42,85
2013-05-07,2013-05-07,Changping,morning,65.5,93.5,56.0,35.0,22.15,1.6,42,86
