datetime,station,hour,PM2.5,PM10,NO2,O3,TEMP,DEWP,WSPM,time_slot
2013-09-01 00:00:00,Aotizhongxin,0,46.0,165.0,89.0,1.0,20.2,15.6,1.3,night
2013-09-01 00:00:00,Changping,0,21.0,73.0,27.0,46.0,20.3,14.4,0.6,night
2013-09-01 01:00:00,Aotizhongxin,1,55.0,124.0,69.0,9.0,19.0,15.5,1.6,night
2013-09-01 01:00:00,Changping,1,39.0,105.0,30.0,45.0,19.4,15.1,0.7,night
2013-09-01 02:00:00,Aotizhongxin,2,62.0,106.0,63.0,4.0,17.8,15.2,1.5,night
2013-09-01 02:00:00,Changping,2,34.0,54.0,23.0,43.0,17.7,15.5,0.0,night
2013-09-01 03:00:00,Aotizhongxin,3,43.0,90.0,58.0,1.0,17.2,15.2,0.7,night
2013-09-01 03:00:00,Changping,3,30.0,61.0,41.0,21.0,17.2,15.4,0.9,night
2013-09-01 04:00:00,Aotizhongxin,4,32.0,73.0,61.0,1.0,17.1,14.9,1.2,night
2013-09-01 04:00:00,Changping,4,30.0,53.0,29.0,24.0,16.7,15.4,0.7,night
2013-09-01 05:00:00,Aotizhongxin,5,28.0,74.0,54.0,2.0,16.6,14.8,1.2,night
2013-09-01 05:00:00,Changping,5,32.0,46.0,18.0,27.0,16.6,15.3,0.9,night
2013-09-01 06:00:00,Aotizhongxin,6,38.0,89.0,55.0,1.0,17.4,14.9,1.6,morning
2013-09-01 06:00:00,Changping,6,32.0,44.0,21.0,23.0,17.4,15.9,0.4,morning
2013-09-01 07:00:00,Aotizhongxin,7,38.0,88.0,59.0,1.0,20.3,15.1,1.9,morning
2013-09-01 07:00:00,Changping,7,34.0,50.0,22.0,22.0,20.5,15.7,0.5,morning
2013-09-01 08:00:00,Aotizhongxin,8,41.0,104.0,55.0,1.0,22.6,15.2,1.9,morning
2013-09-01 08:00:00,Changping,8,31.0,39.0,23.0,28.0,22.6,15.7,1.0,morning
2013-09-01 09:00:00,Aotizhongxin,9,39.0,83.0,41.0,22.0,24.6,15.5,1.7,morning
2013-09-01 09:00:00,Changping,9,27.0,47.0,40.0,20.0,24.6,16.3,1.6,morning
2013-09-01 10:00:00,Aotizhongxin,10,32.0,73.0,35.0,46.0,25.5,15.5,1.9,morning
2013-09-01 10:00:00,Changping,10,28.0,57.0,29.0,40.0,25.5,17.7,2.3,morning
2013-09-01 11:00:00,Aotizhongxin,11,34.0,69.0,29.0,70.0,27.1,14.8,2.0,morning
2013-09-01 11:00:00,Changping,11,31.0,91.0,14.0,82.0,26.5,18.1,1.3,morning
2013-09-01 12:00:00,Aotizhongxin,12,30.0,56.0,26.0,95.0,28.2,14.1,1.5,afternoon
2013-09-01 12:00:00,Changping,12,40.0,79.0,8.0,114.0,27.4,18.9,2.5,afternoon
2013-09-01 13:00:00,Aotizhongxin,13,26.0,47.0,26.0,108.0,29.2,13.8,2.5,afternoon
2013-09-01 13:00:00,Changping,13,33.0,53.0,11.0,131.0,28.5,17.4,3.4,afternoon
2013-09-01 14:00:00,Aotizhongxin,14,30.0,51.0,33.0,120.0,30.0,14.1,0.8,afternoon
2013-09-01 14:00:00,Changping,14,32.0,38.0,9.0,145.0,28.5,16.4,1.3,afternoon
2013-09-01 15:00:00,Aotizhongxin,15,34.0,63.0,39.0,138.0,30.2,13.9,1.6,afternoon
2013-09-01 15:00:00,Changping,15,22.0,29.0,8.0,157.0,28.8,16.7,1.9,afternoon
2013-09-01 16:00:00,Aotizhongxin,16,46.0,79.0,46.0,155.0,29.6,14.6,1.2,afternoon
2013-09-01 16:00:00,Changping,16,30.0,52.0,9.0,175.0,27.7,16.0,1.0,afternoon
2013-09-01 17:00:00,Aotizhongxin,17,43.0,97.0,47.0,178.0,26.8,14.9,0.8,afternoon
2013-09-01 17:00:00,Changping,17,21.0,31.0,7.0,143.0,26.8,17.6,1.2,afternoon
2013-09-01 18:00:00,Aotizhongxin,18,43.0,103.0,53.0,176.0,26.1,15.2,1.0,evening
2013-09-01 18:00:00,Changping,18,19.0,57.0,18.0,105.0,24.8,21.3,0.2,evening
2013-09-01 19:00:00,Aotizhongxin,19,53.0,109.0,53.0,174.0,25.7,15.4,1.0,evening
2013-09-01 19:00:00,Changping,19,25.0,76.0,26.0,81.0,21.7,20.9,0.7,evening
2013-09-01 20:00:00,Aotizhongxin,20,58.0,125.0,56.0,135.0,22.9,16.2,1.9,evening
2013-09-01 20:00:00,Changping,20,26.0,69.0,28.0,46.0,20.8,18.7,0.9,evening
2013-09-01 21:00:00,Aotizhongxin,21,58.0,112.0,63.0,110.0,21.4,16.6,0.8,evening
2013-09-01 21:00:00,Changping,21,30.0,45.0,44.0,34.0,19.8,16.8,1.6,evening
2013-09-01 22:00:00,Aotizhongxin,22,55.0,102.0,50.0,107.0,19.3,16.3,0.5,evening
2013-09-01 22:00:00,Changping,22,35.0,42.0,41.0,31.0,19.6,16.4,0.9,evening
2013-09-01 23:00:00,Aotizhongxin,23,48.0,102.0,51.0,86.0,18.6,16.4,1.0,evening
2013-09-01 23:00:00,Changping,23,23.0,42.0,14.0,46.0,19.7,15.6,0.4,evening
2013-09-02 00:00:00,Aotizhongxin,0,49.0,54.0,63.0,61.0,19.6,16.1,0.6,night
2013-09-02 00:00:00,Changping,0,21.0,10.0,4.0,56.0,18.6,15.5,0.8,night
2013-09-02 01:00:00,Aotizhongxin,1,59.0,87.0,90.0,19.0,18.2,16.2,1.0,night
2013-09-02 01:00:00,Changping,1,11.0,19.0,29.0,35.0,18.5,15.4,0.7,night
2013-09-02 02:00:00,Aotizhongxin,2,62.0,111.0,102.0,1.0,19.0,14.9,1.7,night
2013-09-02 02:00:00,Changping,2,28.0,28.0,31.0,40.0,18.8,15.3,0.8,night
2013-09-02 03:00:00,Aotizhongxin,3,28.0,34.0,46.0,2.0,18.0,14.5,1.2,night
2013-09-02 04:00:00,Aotizhongxin,4,20.0,34.0,46.0,8.0,17.2,14.1,0.8,night
2013-09-02 04:00:00,Changping,4,29.0,40.0,15.0,31.0,17.4,15.2,1.1,night
2013-09-02 05:00:00,Aotizhongxin,5,17.0,19.0,36.0,27.0,16.7,13.8,0.5,night
2013-09-02 05:00:00,Changping,5,38.0,53.0,67.0,10.0,17.3,14.8,0.7,night
2013-09-02 06:00:00,Aotizhongxin,6,15.0,18.0,44.0,33.0,17.8,14.3,1.3,morning
2013-09-02 06:00:00,Changping,6,45.0,60.0,66.0,7.0,17.8,15.1,0.7,morning
2013-09-02 07:00:00,Aotizhongxin,7,21.0,51.0,52.0,32.0,20.4,15.0,1.8,morning
2013-09-02 07:00:00,Changping,7,31.0,35.0,21.0,36.0,20.1,15.1,0.4,morning
