datetime,station,hour,PM2.5,PM10,NO2,O3,TEMP,DEWP,WSPM,time_slot,source_index
2013-09-01 18:00:00,Aotizhongxin,18,43.0,103.0,53.0,176.0,26.1,15.2,1.0,evening,36
2013-09-01 23:00:00,Aotizhongxin,23,48.0,102.0,51.0,86.0,18.6,16.4,1.0,evening,46
2013-09-02 01:00:00,Aotizhongxin,1,59.0,87.0,90.0,19.0,18.2,16.2,1.0,night,50
2013-09-02 05:00:00,Aotizhongxin,5,17.0,19.0,36.0,27.0,16.7,13.8,0.5,night,57
2013-09-02 06:00:00,Aotizhongxin,6,15.0,18.0,44.0,33.0,17.8,14.3,1.3,morning,59
2013-09-02 06:00:00,Changping,6,45.0,60.0,66.0,7.0,17.8,15.1,0.7,morning,60
2013-09-02 07:00:00,Changping,7,31.0,35.0,21.0,36.0,20.1,15.1,0.4,morning,62
2013-09-02 09:00:00,Changping,9,39.0,45.0,47.0,38.0,23.7,16.0,1.3,morning,66
2013-09-02 19:00:00,Aotizhongxin,19,72.0,108.0,53.0,146.0,23.6,16.9,1.2,evening,85
2013-09-02 20:00:00,Aotizhongxin,20,76.0,134.0,49.0,130.0,22.0,18.0,0.6,evening,87
2013-09-02 20:00:00,Changping,20,66.0,117.0,43.0,135.0,21.8,16.5,0.1,evening,88
2013-09-02 21:00:00,Changping,21,71.0,106.0,41.0,117.0,21.5,16.0,0.8,evening,90
2013-09-02 22:00:00,Changping,22,63.0,75.0,24.0,109.0,21.3,16.0,1.1,evening,92
2013-09-03 00:00:00,Aotizhongxin,0,80.0,105.0,63.0,45.0,19.4,18.4,0.5,night,95
2013-09-03 01:00:00,Aotizhongxin,1,87.0,128.0,84.0,13.0,19.2,17.5,1.3,night,97
2013-09-03 01:00:00,Changping,1,64.0,67.0,12.0,104.0,18.9,16.3,0.4,night,98
2013-09-03 02:00:00,Changping,2,59.0,66.0,15.0,86.0,18.4,16.2,0.5,night,100
2013-09-03 03:00:00,Aotizhongxin,3,122.0,209.0,97.0,1.0,19.0,17.5,1.4,night,101
2013-09-03 04:00:00,Changping,4,86.0,93.0,32.0,51.0,18.6,16.4,0.0,night,104
2013-09-03 08:00:00,Aotizhongxin,8,59.0,73.0,45.0,35.0,22.0,17.6,0.0,morning,111
2013-09-03 09:00:00,Changping,9,111.0,122.0,46.0,55.0,23.6,18.0,1.5,morning,114
2013-09-03 10:00:00,Changping,10,123.0,156.0,81.0,27.0,25.6,18.3,1.9,morning,116
2013-09-03 12:00:00,Changping,12,114.0,132.0,40.0,143.0,26.8,16.7,0.8,afternoon,120
2013-09-03 16:00:00,Changping,16,68.0,78.0,11.0,221.0,27.7,16.6,2.3,afternoon,128
2013-09-03 17:00:00,Aotizhongxin,17,106.0,149.0,42.0,195.0,26.1,18.0,1.8,afternoon,129
2013-09-03 19:00:00,Aotizhongxin,19,114.0,160.0,54.0,146.0,24.6,18.8,0.8,evening,133
2013-09-03 20:00:00,Changping,20,120.0,175.0,42.0,157.0,25.1,18.3,1.5,evening,136
2013-09-03 21:00:00,Aotizhongxin,21,91.0,152.0,49.0,116.0,24.3,18.9,0.9,evening,137
2013-09-03 22:00:00,Aotizhongxin,22,98.0,149.0,53.0,95.0,24.1,18.7,1.0,evening,139
2013-09-03 22:00:00,Changping,22,114.0,145.0,42.0,101.0,23.0,18.5,1.1,evening,140
2013-09-03 23:00:00,Changping,23,107.0,113.0,26.0,118.0,20.9,19.6,0.9,evening,142
2013-09-04 01:00:00,Aotizhongxin,1,137.0,165.0,67.0,28.0,21.6,19.2,0.6,night,145
2013-09-04 02:00:00,Changping,2,99.0,84.0,9.0,93.0,17.3,16.7,1.4,night,148
2013-09-04 04:00:00,Aotizhongxin,4,138.0,75.0,41.0,46.0,18.3,17.8,1.2,night,151
2013-09-04 05:00:00,Changping,5,19.0,25.0,15.0,80.0,17.9,17.4,1.2,night,154
2013-09-04 09:00:00,Changping,9,50.0,54.0,32.0,26.0,19.5,18.5,0.7,morning,162
2013-09-04 12:00:00,Aotizhongxin,12,34.0,44.0,49.0,48.0,19.3,18.1,1.5,afternoon,167
2013-09-04 16:00:00,Changping,16,47.0,51.0,21.0,114.0,22.1,17.9,1.5,afternoon,176
2013-09-04 21:00:00,Aotizhongxin,21,61.0,72.0,67.0,38.0,19.1,18.6,2.8,evening,185
2013-09-04 22:00:00,Changping,22,38.0,38.0,17.0,74.0,17.7,16.6,2.0,evening,188
2013-09-05 00:00:00,Aotizhongxin,0,25.0,12.0,37.0,57.0,18.1,17.8,1.2,night,191
2013-09-05 01:00:00,Changping,1,3.0,6.0,17.0,65.0,17.9,16.8,0.5,night,193
2013-09-05 04:00:00,Aotizhongxin,4,16.0,16.0,35.0,10.0,17.0,16.7,0.2,night,198
2013-09-05 05:00:00,Aotizhongxin,5,7.0,8.0,42.0,18.0,17.0,16.7,0.6,night,200
2013-09-05 05:00:00,Changping,5,8.0,6.0,7.0,55.0,17.7,14.6,0.8,night,201
2013-09-05 07:00:00,Changping,7,8.0,30.0,11.0,30.0,20.6,15.2,0.7,morning,205
2013-09-05 09:00:00,Changping,9,3.0,6.0,17.0,50.0,23.9,14.3,1.2,morning,209
2013-09-05 13:00:00,Changping,13,11.0,17.0,16.0,81.0,26.3,13.4,1.2,afternoon,217
2013-09-05 14:00:00,Aotizhongxin,14,14.0,17.0,20.0,92.0,27.4,14.4,0.7,afternoon,218
2013-09-05 14:00:00,Changping,14,11.0,17.0,16.0,92.0,26.2,13.7,1.4,afternoon,219
2013-09-05 16:00:00,Aotizhongxin,16,9.0,15.0,28.0,99.0,26.3,15.4,1.6,afternoon,222
2013-09-05 16:00:00,Changping,16,15.0,37.0,17.0,112.0,25.6,15.0,3.3,afternoon,223
2013-09-05 23:00:00,Aotizhongxin,23,39.0,44.0,43.0,27.0,18.8,15.7,0.9,evening,236
2013-09-06 01:00:00,Aotizhongxin,1,39.0,48.0,39.0,25.0,18.5,15.7,0.5,night,240
2013-09-06 04:00:00,Aotizhongxin,4,43.0,53.0,52.0,6.0,18.5,16.1,0.9,night,245
2013-09-06 05:00:00,Aotizhongxin,5,45.0,46.0,48.0,12.0,18.2,16.5,1.0,night,247
2013-09-06 06:00:00,Changping,6,47.0,49.0,27.0,17.0,18.2,16.9,1.0,morning,250
2013-09-06 09:00:00,Aotizhongxin,9,45.0,50.0,57.0,3.0,20.9,16.3,0.9,morning,255
2013-09-06 15:00:00,Aotizhongxin,15,67.0,62.0,57.0,96.0,25.6,16.4,3.4,afternoon,267
2013-09-06 16:00:00,Aotizhongxin,16,63.0,71.0,52.0,130.0,24.9,16.6,2.4,afternoon,269
2013-09-06 16:00:00,Changping,16,56.0,63.0,20.0,157.0,25.4,16.3,4.3,afternoon,270
2013-09-06 17:00:00,Changping,17,60.0,66.0,19.0,165.0,24.5,16.5,2.1,afternoon,272
2013-09-06 21:00:00,Changping,21,95.0,108.0,41.0,84.0,20.3,17.1,0.7,evening,280
2013-09-06 22:00:00,Aotizhongxin,22,105.0,110.0,72.0,48.0,19.9,18.7,0.0,evening,281
2013-09-06 23:00:00,Changping,23,103.0,106.0,29.0,65.0,19.7,17.3,0.9,evening,284
2013-09-07 06:00:00,Aotizhongxin,6,95.0,104.0,77.0,1.0,18.6,18.1,1.1,morning,297
2013-09-07 07:00:00,Changping,7,78.0,38.0,24.0,28.0,20.5,15.3,1.2,morning,300
2013-09-07 08:00:00,Aotizhongxin,8,94.0,107.0,65.0,1.0,22.2,16.7,2.1,morning,301
2013-09-07 10:00:00,Changping,10,45.0,48.0,34.0,52.0,26.2,12.3,2.7,morning,306
2013-09-07 14:00:00,Aotizhongxin,14,30.0,9.0,18.0,129.0,28.7,14.1,1.1,afternoon,313
2013-09-07 15:00:00,Aotizhongxin,15,8.0,12.0,18.0,128.0,29.1,14.1,1.1,afternoon,315
2013-09-07 15:00:00,Changping,15,34.0,58.0,7.0,156.0,28.1,14.0,1.9,afternoon,316
2013-09-07 20:00:00,Aotizhongxin,20,43.0,111.0,78.0,80.0,20.1,16.9,0.1,evening,325
2013-09-07 20:00:00,Changping,20,31.0,80.0,42.0,66.0,21.4,15.5,0.4,evening,326
2013-09-07 21:00:00,Changping,21,31.0,50.0,22.0,70.0,20.4,15.0,0.9,evening,328
2013-09-07 23:00:00,Aotizhongxin,23,90.0,139.0,120.0,15.0,19.2,17.0,1.4,evening,331
2013-09-08 00:00:00,Changping,0,24.0,25.0,7.0,80.0,18.6,14.9,0.9,night,334
2013-09-08 01:00:00,Aotizhongxin,1,90.0,149.0,129.0,1.0,19.2,16.2,1.0,night,335
