lhs,rhs,g3,support,confidence,lift,antecedent_pairs,valid_pairs,violation_rate,config_name,rule_label,lhs_length,extent_threshold,level,exact_comparison,discovery_kind,is_minimal,g3_mode,total_pairs,violations,baseline_confidence,baseline_confidence_std
"PM2.5, NO2, O3, TEMP",WSPM,0.09248210023866349,0.0008100309906315677,0.8161829375549692,1.2150837988826815,1137,928,0.18381706244503082,strict_075x,"PM2.5, NO2, O3, TEMP -> WSPM",4,0.1,5,False,candidate,True,greedy,1403650,209,0.6717091761946643,0.019248871672892517
"PM2.5, PM10, O3, TEMP",WSPM,0.08472553699284009,0.000917607665728636,0.8532608695652174,1.2898556394507257,1288,1099,0.1467391304347826,strict_075x,"PM2.5, PM10, O3, TEMP -> WSPM",4,0.1,5,False,candidate,True,greedy,1403650,189,0.6615165631469979,0.01723588883861312
"time_slot, NO2, O3, TEMP",WSPM,0.09486873508353222,0.001567342286182453,0.894090909090909,1.3353397750673213,2200,1967,0.10590909090909095,strict_075x,"time_slot, NO2, O3, TEMP -> WSPM",4,0.1,5,False,candidate,True,greedy,1403650,233,0.6695606060606061,0.01095978331543995
"time_slot, PM10, O3, TEMP",WSPM,0.06980906921241051,0.0009461047982046806,0.8765060240963856,1.3183328299607369,1328,1164,0.12349397590361444,strict_075x,"time_slot, PM10, O3, TEMP -> WSPM",4,0.1,5,False,candidate,True,greedy,1403650,164,0.6648594377510041,0.017112805124356603
"time_slot, PM2.5, O3, TEMP",WSPM,0.06384248210023866,0.0008200049869981833,0.8696785403996524,1.2955692652832307,1151,1001,0.13032145960034758,strict_075x,"time_slot, PM2.5, O3, TEMP -> WSPM",4,0.1,5,False,candidate,True,greedy,1403650,150,0.6712713582392121,0.015310921148299914
"station, PM10, NO2, O3, TEMP",WSPM,0.06384248210023866,0.0005920279271898265,0.838748495788207,1.2698123519766806,831,697,0.16125150421179302,strict_075x,"station, PM10, NO2, O3, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,134,0.6605294825511432,0.018903117055727718
"station, time_slot, PM10, NO2, TEMP",WSPM,0.06145584725536993,0.0008264168418052933,0.8827586206896552,1.3190210390725634,1160,1024,0.11724137931034484,strict_075x,"station, time_slot, PM10, NO2, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,136,0.6692528735632184,0.01861660945789419
"station, time_slot, PM2.5, NO2, TEMP",WSPM,0.06443914081145585,0.0007031667438464005,0.8530901722391084,1.2927328556806548,987,842,0.14690982776089156,strict_075x,"station, time_slot, PM2.5, NO2, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,145,0.6599121918270856,0.014497752934912858
"station, time_slot, PM2.5, PM10, O3",WSPM,0.09069212410501193,0.0011291988743632672,0.8435331230283911,1.2691029900332222,1585,1337,0.15646687697160888,strict_075x,"station, time_slot, PM2.5, PM10, O3 -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,248,0.6646687697160885,0.019889166705943147
"station, time_slot, PM2.5, PM10, TEMP",WSPM,0.06682577565632458,0.0006746696113703558,0.853220696937698,1.2855324565125161,947,808,0.14677930306230202,strict_075x,"station, time_slot, PM2.5, PM10, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,139,0.6637099612812388,0.019893561378309117
