lhs,rhs,rule_label,lhs_length,total_pairs,antecedent_pairs,valid_pairs,violations,support,confidence,violation_rate,baseline_confidence,baseline_confidence_std,lift,interpretation,representation,threshold_set
"station, PM2.5, NO2",PM10,"station, PM2.5, NO2 -> PM10",3,1124250,28258,13660,14598,0.025134978874805425,0.48340293014367613,0.5165970698563238,0.14933116285653622,0.0048391560596326814,3.237120242665529,"Within one station, similar PM2.5 and NO2 should imply similar PM10.",raw,medium
"station, time_slot, PM2.5",PM10,"station, time_slot, PM2.5 -> PM10",3,1124250,20750,9312,11438,0.018456748943740272,0.4487710843373494,0.5512289156626506,0.14773333333333336,0.003843711802075256,3.037710408420686,"Within one station and time slot, similar PM2.5 should imply similar PM10.",raw,medium
"station, PM2.5",PM10,"station, PM2.5 -> PM10",2,1124250,82419,35738,46681,0.07331020680453636,0.4336136085126002,0.5663863914873998,0.1474672102306507,0.002946864895436605,2.9404069408676903,"Within one station, particulate measures should move coherently.",raw,medium
"station, hour, TEMP, WSPM",O3,"station, hour, TEMP, WSPM -> O3",4,1124250,4864,1340,3524,0.004326439848788081,0.2754934210526316,0.7245065789473684,0.1618489583333333,0.005760171608918098,1.7021636956429695,"Within one station and similar hour, temperature and wind should imply similar O3.",raw,medium
"station, time_slot, TEMP, WSPM",O3,"station, time_slot, TEMP, WSPM -> O3",4,1124250,9421,2516,6905,0.008379808761396487,0.2670629444857234,0.7329370555142767,0.16289848919081484,0.004986997415685655,1.6394439617723717,"Within one station and time slot, similar temperature and wind should imply similar O3.",raw,medium
"station, time_slot, NO2",O3,"station, time_slot, NO2 -> O3",3,1124250,30729,7129,23600,0.02733288859239493,0.23199583455367895,0.768004165446321,0.16153145237397895,0.0029305783856606177,1.4362270080786512,"Within one station and time slot, similar NO2 should imply similar O3.",raw,medium
"station, TEMP, DEWP, WSPM",PM2.5,"station, TEMP, DEWP, WSPM -> PM2.5",4,1124250,7390,1121,6269,0.0065732710696019565,0.1516914749661705,0.8483085250338295,0.1458682904826342,0.005271208715085218,1.0399208386159127,"Within one station, similar meteorological conditions should imply similar PM2.5.",raw,medium
"station, PM2.5_bin, NO2_bin",PM10_bin,"station, PM2.5_bin, NO2_bin -> PM10_bin",3,1124250,88380,60862,27518,0.07861240827218145,0.6886399637927133,0.3113600362072867,0.33312627291242364,0.0017431396163925703,2.0672039997690352,Quantile-binned low/medium/high variant.,binned,medium
"station, time_slot, PM2.5_bin",PM10_bin,"station, time_slot, PM2.5_bin -> PM10_bin",3,1124250,46835,29863,16972,0.041658883700244606,0.6376214369595388,0.36237856304046123,0.33267428205401944,0.002324028716390893,1.916653830355309,Quantile-binned low/medium/high variant.,binned,medium
"station, PM2.5_bin",PM10_bin,"station, PM2.5_bin -> PM10_bin",2,1124250,187819,118215,69604,0.16706159661996886,0.6294091652069279,0.3705908347930721,0.332548712679051,0.0006315534033993295,1.8926826092223743,Quantile-binned low/medium/high variant.,binned,medium
"station, time_slot, TEMP_bin, WSPM_bin",O3_bin,"station, time_slot, TEMP_bin, WSPM_bin -> O3_bin",4,1124250,17140,9450,7690,0.015245719368467867,0.5513418903150525,0.44865810968494746,0.3332847141190199,0.003501774398726915,1.6542669584245075,Quantile-binned low/medium/high variant.,binned,medium
"station, time_slot, NO2_bin",O3_bin,"station, time_slot, NO2_bin -> O3_bin",3,1124250,50869,26799,24070,0.04524705359128308,0.5268238023157522,0.4731761976842478,0.33217807833192453,0.001619547092255004,1.5859679993371825,Quantile-binned low/medium/high variant.,binned,medium
"station, TEMP_bin, DEWP_bin, WSPM_bin",PM2.5_bin,"station, TEMP_bin, DEWP_bin, WSPM_bin -> PM2.5_bin",4,1124250,36274,14686,21588,0.03226506559928841,0.4048629872636048,0.5951370127363952,0.333293819264487,0.00216191306084992,1.21473295891612,Quantile-binned low/medium/high variant.,binned,medium
