lhs,rhs,rule_label,lhs_length,total_pairs,antecedent_pairs,valid_pairs,violations,support,confidence,violation_rate,baseline_confidence,baseline_confidence_std,lift,station_scope,evaluated_lhs
PM2.5,PM10,PM2.5 -> PM10,1,280875,37647,15578,22069,0.1340347129506008,0.4137912715488618,0.5862087284511381,,,,Aotizhongxin,PM2.5
PM2.5,PM10,PM2.5 -> PM10,1,280875,44772,20160,24612,0.1594018691588785,0.450281425891182,0.549718574108818,,,,Changping,PM2.5
"PM2.5, NO2",PM10,"PM2.5, NO2 -> PM10",2,280875,10673,5121,5552,0.03799910992434357,0.4798088634873044,0.5201911365126957,,,,Aotizhongxin,"PM2.5, NO2"
"PM2.5, NO2",PM10,"PM2.5, NO2 -> PM10",2,280875,17585,8539,9046,0.06260792167334224,0.48558430480523174,0.5144156951947683,,,,Changping,"PM2.5, NO2"
"TEMP, DEWP, WSPM",PM2.5,"TEMP, DEWP, WSPM -> PM2.5",3,280875,3769,526,3243,0.01341878059635069,0.13955956487131865,0.8604404351286814,,,,Aotizhongxin,"TEMP, DEWP, WSPM"
"TEMP, DEWP, WSPM",PM2.5,"TEMP, DEWP, WSPM -> PM2.5",3,280875,3621,595,3026,0.012891855807743657,0.1643192488262911,0.8356807511737089,,,,Changping,"TEMP, DEWP, WSPM"
"hour, TEMP, WSPM",O3,"hour, TEMP, WSPM -> O3",3,280875,2436,696,1740,0.008672897196261683,0.2857142857142857,0.7142857142857143,,,,Aotizhongxin,"hour, TEMP, WSPM"
"hour, TEMP, WSPM",O3,"hour, TEMP, WSPM -> O3",3,280875,2428,644,1784,0.008644414775255897,0.2652388797364086,0.7347611202635914,,,,Changping,"hour, TEMP, WSPM"
"time_slot, NO2",O3,"time_slot, NO2 -> O3",2,280875,13479,3230,10249,0.04798931909212283,0.23963202017953855,0.7603679798204614,,,,Aotizhongxin,"time_slot, NO2"
"time_slot, NO2",O3,"time_slot, NO2 -> O3",2,280875,17250,3899,13351,0.06141522029372497,0.22602898550724637,0.7739710144927536,,,,Changping,"time_slot, NO2"
"time_slot, PM2.5",PM10,"time_slot, PM2.5 -> PM10",2,280875,9394,4019,5375,0.03344548286604361,0.42782627208856716,0.5721737279114328,,,,Aotizhongxin,"time_slot, PM2.5"
"time_slot, PM2.5",PM10,"time_slot, PM2.5 -> PM10",2,280875,11356,5293,6063,0.040430796617712504,0.4660972173300458,0.5339027826699543,,,,Changping,"time_slot, PM2.5"
"time_slot, TEMP, WSPM",O3,"time_slot, TEMP, WSPM -> O3",3,280875,4644,1295,3349,0.016534045393858478,0.27885443583118,0.72114556416882,,,,Aotizhongxin,"time_slot, TEMP, WSPM"
"time_slot, TEMP, WSPM",O3,"time_slot, TEMP, WSPM -> O3",3,280875,4777,1221,3556,0.01700756564307966,0.2555997487963157,0.7444002512036842,,,,Changping,"time_slot, TEMP, WSPM"
