rule_label,lhs,rhs,row_index_1,row_index_2,datetime_1,datetime_2,station_1,station_2,month_1,month_2,time_slot_1,time_slot_2,rhs_value_1,rhs_value_2,rhs_abs_diff,PM2.5_1,PM2.5_2,NO2_1,NO2_2
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,31095,52772,2015-01-18 04:00:00,2016-05-06 03:00:00,Changping,Changping,2015-01,2016-05,night,night,133.0,647.0,514.0,131.0,141.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,37059,52772,2015-05-28 03:00:00,2016-05-06 03:00:00,Changping,Changping,2015-05,2016-05,night,night,148.0,647.0,499.0,134.0,141.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,52772,61186,2016-05-06 03:00:00,2016-11-05 05:00:00,Changping,Changping,2016-05,2016-11,night,night,647.0,149.0,498.0,141.0,138.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,37057,52772,2015-05-28 02:00:00,2016-05-06 03:00:00,Changping,Changping,2015-05,2016-05,night,night,154.0,647.0,493.0,136.0,141.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,29828,52772,2014-12-15 00:00:00,2016-05-06 03:00:00,Changping,Changping,2014-12,2016-05,night,night,169.0,647.0,478.0,136.0,141.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,14067,2013-12-31 12:00:00,2014-01-05 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-01,afternoon,afternoon,274.0,18.0,256.0,33.0,28.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,26243,39778,2014-09-27 23:00:00,2015-07-26 19:00:00,Aotizhongxin,Aotizhongxin,2014-09,2015-07,evening,evening,328.0,77.0,251.0,86.0,77.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,66507,2013-12-31 12:00:00,2017-02-26 14:00:00,Aotizhongxin,Aotizhongxin,2013-12,2017-02,afternoon,afternoon,274.0,24.0,250.0,33.0,24.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,23078,26243,2014-07-20 18:00:00,2014-09-27 23:00:00,Aotizhongxin,Aotizhongxin,2014-07,2014-09,evening,evening,79.0,328.0,249.0,79.0,86.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,41653,2013-12-31 12:00:00,2015-09-05 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-09,afternoon,afternoon,274.0,27.0,247.0,33.0,27.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,41845,2013-12-31 12:00:00,2015-09-09 13:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-09,afternoon,afternoon,274.0,27.0,247.0,33.0,27.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13163,13825,2013-12-17 15:00:00,2013-12-31 12:00:00,Aotizhongxin,Aotizhongxin,2013-12,2013-12,afternoon,afternoon,28.0,274.0,246.0,25.0,33.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,66274,2013-12-31 12:00:00,2017-02-21 16:00:00,Aotizhongxin,Aotizhongxin,2013-12,2017-02,afternoon,afternoon,274.0,28.0,246.0,33.0,28.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,15556,26243,2014-02-06 19:00:00,2014-09-27 23:00:00,Aotizhongxin,Aotizhongxin,2014-02,2014-09,evening,evening,84.0,328.0,244.0,92.0,86.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,21151,2013-12-31 12:00:00,2014-06-09 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-06,afternoon,afternoon,274.0,30.0,244.0,33.0,30.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,20868,2013-12-31 12:00:00,2014-06-03 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2014-06,afternoon,afternoon,274.0,31.0,243.0,33.0,31.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,15508,26243,2014-02-05 19:00:00,2014-09-27 23:00:00,Aotizhongxin,Aotizhongxin,2014-02,2014-09,evening,evening,88.0,328.0,240.0,86.0,86.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34353,59689,2015-03-30 01:00:00,2016-10-04 00:00:00,Aotizhongxin,Aotizhongxin,2015-03,2016-10,night,night,372.0,132.0,240.0,137.0,132.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,34368,61842,2015-03-30 09:00:00,2016-11-19 07:00:00,Aotizhongxin,Aotizhongxin,2015-03,2016-11,morning,morning,373.0,134.0,239.0,140.0,134.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,56914,2013-12-31 12:00:00,2016-08-03 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-08,afternoon,afternoon,274.0,35.0,239.0,33.0,35.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,59951,2013-12-31 12:00:00,2016-10-09 14:00:00,Aotizhongxin,Aotizhongxin,2013-12,2016-10,afternoon,afternoon,274.0,37.0,237.0,33.0,26.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,13825,45170,2013-12-31 12:00:00,2015-11-23 15:00:00,Aotizhongxin,Aotizhongxin,2013-12,2015-11,afternoon,afternoon,274.0,37.0,237.0,33.0,37.0,,
