lhs,rhs,rule_label,lhs_length,total_pairs,antecedent_pairs,valid_pairs,violations,support,confidence,violation_rate,baseline_confidence,baseline_confidence_std,lift,window_start,window,rows,confidence_delta,lift_delta,abrupt_change
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,28,1,1,0,0.03571428571428571,1.0,0.0,0.7,0.45825756949558394,1.4285714285714286,2013-02-01,month,8,,,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,496,1,1,0,0.0020161290322580645,1.0,0.0,0.8,0.4,1.25,2013-03-01,month,32,0.0,-0.1785714285714286,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,780,4,1,3,0.005128205128205128,0.25,0.75,0.5833333333333334,0.21730674684008824,0.42857142857142855,2013-04-01,month,40,-0.75,-0.8214285714285714,True
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,496,2,2,0,0.004032258064516129,1.0,0.0,0.7166666666666667,0.33374973990834644,1.3953488372093024,2013-05-01,month,32,0.75,0.9667774086378738,True
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,496,1,1,0,0.0020161290322580645,1.0,0.0,0.9666666666666667,0.1795054935711501,1.0344827586206897,2013-06-01,month,32,0.0,-0.36086607858861264,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,780,2,2,0,0.002564102564102564,1.0,0.0,0.9333333333333333,0.16996731711975951,1.0714285714285714,2013-07-01,month,40,0.0,0.03694581280788167,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,496,0,0,0,0.0,,,,,,2013-08-01,month,32,,,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,496,2,2,0,0.004032258064516129,1.0,0.0,1.0,0.0,1.0,2013-09-01,month,32,,,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,780,10,10,0,0.01282051282051282,1.0,0.0,0.93,0.08999999999999998,1.075268817204301,2013-10-01,month,40,0.0,0.07526881720430101,False
"PM2.5, PM10, NO2, O3, TEMP",WSPM,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,496,9,5,4,0.018145161290322582,0.5555555555555556,0.4444444444444444,0.5666666666666667,0.1580488021729768,0.9803921568627452,2013-11-01,month,32,-0.4444444444444444,-0.09487666034155584,True
