rule_label,lhs,rhs,row_index_1,row_index_2,datetime_1,datetime_2,station_1,station_2,rhs_value_1,rhs_value_2,rhs_abs_diff,PM2.5_1,PM2.5_2,NO2_1,NO2_2,time_slot_1,time_slot_2
"station, PM2.5, NO2 -> PM10","station, PM2.5, NO2",PM10,165,1694,2013-03-04 12:00:00,2013-04-05 19:00:00,Aotizhongxin,Aotizhongxin,28.0,6.0,22.0,13.0,3.0,14.0,12.0,,
"station, PM2.5, NO2 -> PM10","station, PM2.5, NO2",PM10,165,1828,2013-03-04 12:00:00,2013-04-08 15:00:00,Aotizhongxin,Aotizhongxin,28.0,149.0,121.0,13.0,15.0,14.0,6.0,,
"station, PM2.5, NO2 -> PM10","station, PM2.5, NO2",PM10,165,2539,2013-03-04 12:00:00,2013-04-24 16:00:00,Aotizhongxin,Aotizhongxin,28.0,86.0,58.0,13.0,10.0,14.0,13.0,,
"station, PM2.5, NO2 -> PM10","station, PM2.5, NO2",PM10,165,3260,2013-03-04 12:00:00,2013-05-10 17:00:00,Aotizhongxin,Aotizhongxin,28.0,58.0,30.0,13.0,14.0,14.0,20.0,,
"station, PM2.5, NO2 -> PM10","station, PM2.5, NO2",PM10,165,8876,2013-03-04 12:00:00,2013-09-10 13:00:00,Aotizhongxin,Aotizhongxin,28.0,12.0,16.0,13.0,9.0,14.0,17.0,,
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,165,1828,2013-03-04 12:00:00,2013-04-08 15:00:00,Aotizhongxin,Aotizhongxin,28.0,149.0,121.0,13.0,15.0,,,afternoon,afternoon
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,165,2539,2013-03-04 12:00:00,2013-04-24 16:00:00,Aotizhongxin,Aotizhongxin,28.0,86.0,58.0,13.0,10.0,,,afternoon,afternoon
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,165,3260,2013-03-04 12:00:00,2013-05-10 17:00:00,Aotizhongxin,Aotizhongxin,28.0,58.0,30.0,13.0,14.0,,,afternoon,afternoon
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,165,5189,2013-03-04 12:00:00,2013-06-21 14:00:00,Aotizhongxin,Aotizhongxin,28.0,94.0,66.0,13.0,21.0,,,afternoon,afternoon
"station, time_slot, PM2.5 -> PM10","station, time_slot, PM2.5",PM10,165,8876,2013-03-04 12:00:00,2013-09-10 13:00:00,Aotizhongxin,Aotizhongxin,28.0,12.0,16.0,13.0,9.0,,,afternoon,afternoon
